PowerMethod,16.35,23.28,30.27,39.25,39.64,44.99,45.42,49.73,59.12,60.68,61.18,66.66,70.14,74.77,72.77,82.08,71.32,88.12,88.73,83.96,89.16,86.77,90.81,100.26,89.44,89.89,103.32,97.02,102.76,98.1,99.19,99.58,97.39,108.39,109.57,97.9,111.95,114.62,125.66,112.07,119.89,122.97,112.97,118.24,135.53,129.71,127.21,117.68,116.2,112.63
RayleighQuotientIteration,4.15,4.38,4.49,4.48,4.62,4.76,4.58,4.8,4.74,4.56,4.66,4.65,4.66,4.64,4.57,4.74,4.77,4.52,4.63,4.62,4.61,4.56,4.64,4.83,4.78,4.77,4.62,4.92,4.81,4.83,4.9,4.75,4.76,4.58,4.89,4.79,4.92,4.72,4.69,5.0,4.76,4.66,4.69,4.75,4.44,4.72,4.69,4.69,4.75,4.81
PowerMethod,16.35,25.76,32.34,46.37,52.04,50.78,56.58,62.09,62.74,65.68,73.13,80.02,80.17,79.15,89.96,84.1,105.34,92.8,93.51,108.1,101.07,104.21,98.15,114.15,105.72,101.63,103.56,114.69,111.63,104.55,95.77,107.77,114.01,121.0,102.45,80.58,101.63,98.54,104.51,104.43,94.61,84.43,85.23,93.57,106.52,92.43,120.2,101.25,126.65,85.18
RayleighQuotientIteration,4.15,4.38,4.49,4.48,4.62,4.76,4.58,4.8,4.74,4.56,4.66,4.65,4.66,4.64,4.57,4.74,4.77,4.52,4.63,4.62,4.61,4.56,4.64,4.83,4.78,4.77,4.62,4.92,4.81,4.83,4.9,4.75,4.76,4.58,4.89,4.79,4.92,4.72,4.69,5.0,4.76,4.66,4.69,4.75,4.44,4.72,4.69,4.69,4.75,4.81
