PowerMethod,12.25,23.51,26.35,34.3,34.42,36.32,55.48,54.54,51.83,56.08,63.63,63.59,57.72,70.9,86.08,74.14,72.07,80.1,73.35,94.01,95.26,93.54,86.17,98.53,86.43,92.1,102.59,92.03,95.87,109.78,99.79,95.1,102.7,97.28,110.21,102.16,104.22,112.73,119.76,104.82,121.51,105.57,116.3,123.97,127.35,123.0,126.26,122.44,130.73,116.57
RayleighQuotientIteration,3.83,4.27,4.41,4.53,4.51,4.66,4.61,4.78,4.53,4.83,4.81,4.91,4.89,4.63,4.87,4.7,4.75,5.03,4.95,4.95,4.47,4.78,4.82,4.85,4.62,4.56,4.74,4.61,4.91,4.74,4.59,4.64,4.6,4.83,4.73,4.53,4.76,4.76,4.92,4.66,4.71,4.7,4.42,4.56,4.78,4.66,4.9,4.88,4.61,4.69
PowerMethod,12.25,28.86,30.41,41.59,47.52,48.27,59.49,59.91,67.31,68.24,67.78,81.14,68.83,71.76,86.47,95.7,86.14,93.15,85.28,106.29,107.24,89.7,93.94,101.51,93.43,124.78,117.15,101.09,109.53,100.5,106.82,110.34,119.62,120.21,95.24,130.11,112.92,91.02,97.53,114.55,100.26,99.5,113.99,102.86,97.97,116.53,94.93,73.95,80.06,87.46
RayleighQuotientIteration,3.83,4.27,4.41,4.53,4.51,4.66,4.61,4.78,4.53,4.83,4.81,4.91,4.89,4.63,4.87,4.7,4.75,5.03,4.95,4.95,4.47,4.78,4.82,4.85,4.62,4.56,4.74,4.61,4.91,4.74,4.59,4.64,4.6,4.83,4.73,4.53,4.76,4.76,4.92,4.66,4.71,4.7,4.42,4.56,4.78,4.66,4.9,4.88,4.61,4.69
