PowerMethod,13.45,21.8,24.16,34.93,36.3,41.57,54.72,46.31,62.5,60.9,62.36,74.48,67.57,62.12,78.96,79.56,60.08,81.29,85.2,92.78,84.02,97.0,96.11,86.28,80.35,92.73,83.78,98.19,95.75,104.66,96.85,107.34,113.61,110.12,96.8,102.03,108.22,113.73,111.28,113.95,107.92,126.98,115.64,123.15,123.04,117.49,126.5,119.89,126.36,135.22
RayleighQuotientIteration,3.83,4.33,4.27,4.62,4.57,4.71,4.79,4.56,4.75,4.65,4.69,4.67,4.77,4.78,4.91,4.68,4.8,4.59,4.91,4.72,4.8,4.93,4.5,5.02,4.78,4.9,4.58,4.93,4.67,4.71,4.77,4.71,4.53,4.79,4.84,4.69,4.84,4.75,4.79,4.7,5.01,4.77,4.86,4.85,4.77,4.81,4.59,4.6,4.84,4.82
PowerMethod,13.45,26.87,25.72,40.38,48.62,48.05,59.98,55.37,62.43,72.23,69.58,94.98,83.58,81.1,97.96,84.61,82.78,107.54,91.89,87.41,102.93,97.87,105.9,107.5,88.69,112.24,103.83,103.17,96.25,109.66,100.12,95.26,108.26,100.83,104.79,120.56,98.2,90.85,79.03,107.77,106.38,102.79,101.07,121.32,112.57,82.38,94.87,115.02,101.55,103.32
RayleighQuotientIteration,3.83,4.33,4.27,4.62,4.57,4.71,4.79,4.56,4.75,4.65,4.69,4.67,4.77,4.78,4.91,4.68,4.8,4.59,4.91,4.72,4.8,4.93,4.5,5.02,4.78,4.9,4.58,4.93,4.67,4.71,4.77,4.71,4.53,4.79,4.84,4.69,4.84,4.75,4.79,4.7,5.01,4.77,4.86,4.85,4.77,4.81,4.59,4.6,4.84,4.82
